code,term,id,type,bnf_code
8093711000001103,glimepiride 2mg tablets (alliance healthcare (distribution) ltd),8093711000001103,amp,0601021A0AAAAAA
10155111000001101,glimepiride 2mg tablets (actavis uk ltd),10155111000001101,amp,0601021A0AAAAAA
10274011000001101,glimepiride 2mg tablets (a a h pharmaceuticals ltd),10274011000001101,amp,0601021A0AAAAAA
10445311000001101,glimepiride 2mg tablets (niche generics ltd),10445311000001101,amp,0601021A0AAAAAA
10517911000001105,glimepiride 2mg tablets (zentiva),10517911000001105,amp,0601021A0AAAAAA
10617511000001108,glimepiride 2mg tablets (somex pharma),10617511000001108,amp,0601021A0AAAAAA
10689011000001106,glimepiride 2mg tablets (pliva pharma ltd),10689011000001106,amp,0601021A0AAAAAA
11018911000001102,glimepiride 2mg tablets (dr reddy's laboratories (uk) ltd),11018911000001102,amp,0601021A0AAAAAA
11149411000001103,glimepiride 2mg tablets (teva uk ltd),11149411000001103,amp,0601021A0AAAAAA
11343211000001108,glimepiride 2mg tablets (sandoz ltd),11343211000001108,amp,0601021A0AAAAAA
12147311000001101,glimepiride 2mg tablets (kent pharmaceuticals ltd),12147311000001101,amp,0601021A0AAAAAA
13720511000001107,glimepiride 2mg tablets (ranbaxy (uk) ltd),13720511000001107,amp,0601021A0AAAAAA
14122311000001108,glimepiride 2mg tablets (consilient health ltd),14122311000001108,amp,0601021A0AAAAAA
15091211000001102,glimepiride 2mg tablets (sigma pharmaceuticals plc),15091211000001102,amp,0601021A0AAAAAA
16053711000001101,glimepiride 2mg tablets (bristol laboratories ltd),16053711000001101,amp,0601021A0AAAAAA
17916711000001106,glimepiride 2mg tablets (phoenix healthcare distribution ltd),17916711000001106,amp,0601021A0AAAAAA
20166811000001106,glimepiride 2mg tablets (accord healthcare ltd),20166811000001106,amp,0601021A0AAAAAA
22027411000001104,glimepiride 2mg tablets (waymade healthcare plc),22027411000001104,amp,0601021A0AAAAAA
24106511000001109,glimepiride 2mg tablets (de pharmaceuticals),24106511000001109,amp,0601021A0AAAAAA
30137811000001100,glimepiride 2mg tablets (mawdsley-brooks & company ltd),30137811000001100,amp,0601021A0AAAAAA
32493611000001106,glimepiride 2mg tablets (brown & burk uk ltd),32493611000001106,amp,0601021A0AAAAAA
10154911000001102,glimepiride 1mg tablets (actavis uk ltd),10154911000001102,amp,0601021A0AAABAB
10272611000001100,glimepiride 1mg tablets (alliance healthcare (distribution) ltd),10272611000001100,amp,0601021A0AAABAB
